Time,Energy,Searching
736,253.3573,6
737,203.3869,6
738,150.8202,6
739,99.23753,6
740,47.29529,6
741,-1.127108,6
742,-51.60055,6
743,-101.3343,6
744,-151.3321,6
745,-199.7036,6
746,-249.7114,6
747,-297.7901,6
748,-372.7177,6
749,-420.9044,6
750,-471.47,6
751,-522.1604,6
752,-571.837,6
753,-621.8082,6
754,-671.65,6
755,-723.0949,6
756,-771.9594,6
757,-821.1028,6
758,-870.4267,6
759,-925.1381,6
760,-981.5857,6
761,-1035.693,6
762,-1088.881,6
763,-1146.487,6
764,-1198.62,6
765,-1252.559,6
766,-1310.23,6
767,-1362.726,6
768,-1415.036,6
769,-1469.074,6
770,-1526.275,6
771,-1580.467,6
772,-1629.583,6
773,-1675.137,6
774,-1725.991,6
775,-1779.963,6
776,-1834.902,6
777,-1888.013,6
778,-1947.938,6
779,-2006.805,6
780,-2067.226,6
781,-2127.146,6
782,-2188.363,6
783,-2246.696,6
784,-2307.001,6
785,-2368.87,6
786,-2427.577,6
787,-2485.467,6
788,-2543.958,6
789,-2603.627,6
790,-2662.18,6
791,-2723.321,6
792,-2782.213,6
793,-2842.518,6
794,-2901.048,6
795,-2961.91,6
796,-3021.809,6
797,-3082.67,6
798,-3141.009,6
799,-3202.101,6
800,-3262.758,6
801,-3319.929,6
802,-3380.164,6
803,-3459.479,6
804,-3518.094,6
805,-3576.306,6
806,-1627.557,5
807,-1674.951,5
808,-1721.789,5
809,-1768.159,5
810,-1815.898,5
811,-1863.379,5
812,-1902.453,5
813,-1943.812,5
814,-1990.873,5
815,-2037.524,5
816,-2083.373,5
817,-2128.907,5
818,-2172.828,5
819,-2217.602,5
820,-2263.035,5
821,-302.0234,5
822,-340.0984,5
823,-377.4132,5
824,-414.4924,5
825,-453.446,5
826,-490.7972,5
827,-530.5989,5
828,-571.3551,5
829,-611.4827,5
830,-651.4431,5
831,-691.6245,5
832,-730.7766,5
833,-769.8976,5
834,-811.8978,5
835,-854.3777,5
836,-896.5804,5
837,-938.8365,5
838,-976.709,5
839,-1015.333,5
840,-1055.64,5
841,-1095.598,5
842,-1133.654,5
843,-1174.695,5
844,-1214.727,5
845,-1252.028,5
846,-1290.239,5
847,-1326.601,5
848,-1365.176,5
849,-1401.524,5
850,-1436.642,5
851,-1469.408,3
852,-1495.099,3
853,-1521.544,3
854,-1548.783,3
855,-1575.527,3
856,-1602.575,3
857,-1628.54,3
858,-1655.2,3
859,-1681.506,3
860,-1706.849,3
861,-1732.477,3
862,-1759.299,3
863,-1784.608,3
864,-1809.735,3
865,-1834.887,3
866,-1860.566,3
867,-1884.766,3
868,-1910.373,3
869,-1940.862,3
870,-1972.194,3
871,-2003.784,3
872,-2033.317,3
873,-2062.367,3
874,-2093.89,3
875,-2124.079,3
876,-151.4952,3
877,-175.6111,3
878,-200.1137,3
879,-225.5188,3
880,-256.5129,3
881,-280.7559,3
882,-305.4904,3
883,-331.9078,3
884,-359.6228,3
885,-387.4078,2
886,-412.1316,2
887,-438.1195,2
888,-462.8468,2
889,-487.2128,2
890,-512.702,2
891,-538.422,2
892,-564.2846,2
893,-591.1871,2
894,-616.9912,2
895,-641.3586,2
896,-667.5164,2
897,-692.7704,2
898,-718.0819,2
899,-742.2509,2
900,-768.3091,2
901,-793.2824,2
902,-819.2144,2
903,-844.7746,2
904,-869.0035,2
905,-895.6575,2
906,-919.9724,2
907,-947.6016,2
908,-973.2511,2
909,-999.3675,2
910,-1023.563,2
911,-1052.945,3
912,-1084.017,3
913,-1116.227,3
914,-1146.414,3
915,-1177.48,3
916,-1208.15,3
917,-1238.357,3
918,-1269.861,3
919,705.7568,2
920,683.8888,2
921,663.029,2
922,641.4408,2
923,620.724,2
924,598.9606,2
925,577.9342,2
926,556.6528,2
927,536.3591,2
928,515.7613,2
929,494.7689,2
930,473.994,2
931,452.3089,2
932,432.0172,2
933,411.0361,2
934,390.5349,2
935,369.1589,2
936,347.9232,2
937,326.128,2
938,299.9731,3
939,268.0159,3
940,238.4689,3
941,206.7328,3
942,175.4647,3
943,145.5234,3
944,115.5771,3
945,83.03912,3
946,51.27311,3
947,21.52163,3
948,-9.618183,3
949,-45.8113,3
950,-78.36502,3
951,-110.0669,3
952,-142.3831,3
953,-174.0499,3
954,-207.7767,3
955,-240.5834,3
956,-273.7296,3
957,-305.914,3
958,-336.9783,3
959,-368.9597,3
960,-400.8237,3
961,-434.328,3
962,-473.6657,3
963,-504.8006,3
964,-538.6777,3
965,-570.4615,3
966,-603.3342,3
967,-634.8286,3
968,-668.3101,3
969,-702.1658,3
970,1270.476,3
971,1244.126,3
972,1217.441,3
973,1191.393,3
974,1164.216,3
975,1137.734,3
976,1110.15,3
977,1084.074,3
978,1054.216,4
979,1021.621,5
980,982.956,5
981,943.0056,5
982,905.4513,5
983,867.4756,5
984,827.0701,5
985,787.8381,5
986,747.7682,5
987,705.5215,5
988,664.3726,5
989,619.176,5
990,574.3859,5
991,528.7583,5
992,479.612,5
993,438.1056,5
994,393.8043,5
995,349.0487,5
996,308.6047,5
997,266.7834,5
998,223.5369,5
999,182.4312,5
1000,139.6899,5
1001,98.19993,5
1002,55.64643,5
1003,14.57919,5
1004,-26.72585,5
1005,-69.70943,5
1006,-112.806,5
1007,-153.7018,5
1008,-194.5054,5
1009,-236.5775,5
1010,-279.9887,5
1011,-322.9674,5
1012,-368.5467,5
1013,-413.3827,5
1014,-454.8989,5
1015,-497.9268,5
1016,-542.2286,5
1017,-585.7256,5
1018,-627.311,5
1019,-670.947,5
1020,-710.3601,5
1021,-751.9766,5
1022,-796.9588,5
1023,-844.3582,6
1024,-891.5405,6
1025,-939.6077,6
1026,-986.548,6
1027,-1035.406,6
1028,-1084.893,6
1029,-1139.807,6
1030,-1196.248,6
1031,-1251.505,6
1032,695.6293,5
1033,651.2201,5
1034,610.0651,5
1035,566.815,5
1036,523.2996,5
1037,479.7141,5
1038,435.7547,5
1039,392.9737,5
